Project_Code,Skill,Emp_ID_Count,Date
29A,JS_HTML_CSS_.Net,1,8/24/2020
29A,Manual Testing,1,8/24/2020
29A,Oracle DBA,1,8/24/2020
29A,Oracle forms,1,8/24/2020
29A,PHP,1,8/24/2020
29A,PowerBI,1,8/24/2020
29A,Tableau,3,8/24/2020
01A,.Net,3,8/24/2020
01A,AWS,3,8/24/2020
01A,Azure,2,8/24/2020
01A,Business Analyst,1,8/24/2020
01A,Java,3,8/24/2020
01A,Others,1,8/24/2020
01A,Selenium Java,1,8/24/2020
01B,Data Science,1,8/24/2020
01B,Business Analyst,1,8/24/2020
02A,.Net,1,8/24/2020
02A,AWS,2,8/24/2020
02A,DevOps,2,8/24/2020
02A,Manual Testing,1,8/24/2020
02A,Security Testing,1,8/24/2020
02B,Java,1,8/24/2020
03A,AWS,2,8/24/2020
03A,AWS DevOps,1,8/24/2020
03A,DevOps,1,8/24/2020
03A,Others,1,8/24/2020
03B,Business Analyst,1,8/24/2020
03B,JS_HTML_CSS_.Net,1,8/24/2020
04A,.Net,1,8/24/2020
04A,Azure,1,8/24/2020
04A,Selenium Java,1,8/24/2020
04B,Data Science,1,8/24/2020
05A,Security Testing,1,8/24/2020
001A,C++,7,8/24/2020
001A,Hadoop,1,8/24/2020
001A,HL7,1,8/24/2020
001A,Java,2,8/24/2020
001A,JS_HTML_CSS_Java,2,8/24/2020
001A,Manual Testing,2,8/24/2020
001A,Selenium,1,8/24/2020
001B,.Net,1,8/24/2020
001B,C++,1,8/24/2020
001B,JS_HTML_CSS_Java,1,8/24/2020
001B,Manual Testing,3,8/24/2020
001B,Selenium .NET,1,8/24/2020
002A,.Net,1,8/24/2020
002A,C++,2,8/24/2020
002A,Database Testing,1,8/24/2020
002A,Fullstack Java,1,8/24/2020
002A,HL7,2,8/24/2020
002A,IOS,1,8/24/2020
002A,JS_HTML_CSS_.Net,1,8/24/2020
002A,JS_HTML_CSS_Java,1,8/24/2020
002A,Manual Testing,3,8/24/2020
002A,Mirth,1,8/24/2020
002C,HL7,1,8/24/2020
02B,HL7,2,8/24/2020
02B,Java,3,8/24/2020
02B,JS_HTML_CSS_Java,2,8/24/2020
04A,HL7,4,8/24/2020
04A,Mirth,1,8/24/2020
05A,Selenium,1,8/24/2020
05A,Selenium Java,1,8/24/2020
06A,Java,7,8/24/2020
06A,JS_HTML_CSS_.Net,1,8/24/2020
06A,JS_HTML_CSS_Java,2,8/24/2020
06A,Mirth,1,8/24/2020
06A,PHP,2,8/24/2020
07A,PHP,2,8/24/2020
001A,Azure,1,8/24/2020
001A,DevOps,1,8/24/2020
001A,Fresher,4,8/24/2020
001A,HL7,72,8/24/2020
001A,Java,6,8/24/2020
001A,JS_HTML_CSS_Java,3,8/24/2020
001A,Manual Testing,2,8/24/2020
001A,Mirth,1,8/24/2020
001A,Others,2,8/24/2020
001A,SQL,3,8/24/2020
001A,Technical Management,1,8/24/2020
002A,.Net,6,8/24/2020
002A,Database Technologies,1,8/24/2020
002A,Database Technologies,1,8/24/2020
002A,Business Analyst,13,8/24/2020
002A,Java,1,8/24/2020
002A,JS_HTML_CSS_Java,3,8/24/2020
002A,Others,1,8/24/2020
002A,Perl,79,8/24/2020
002A,PL SQL,1,8/24/2020
002A,SQL,1,8/24/2020
002B,Datastage,1,8/24/2020
002B,Systems and Networking,1,8/24/2020
003A,HL7,1,8/24/2020
003A,Linux,1,8/24/2020
004A,Java,6,8/24/2020
